,,,,,
rcpvar,var,codenr,fold,mod,
,,,,,
cct,,217,atmos,echam6,Air Pressure at Convective Cloud Top [Pa]
cl,,223,atmos,echam6,Cloud Area Fraction [%]
cli,,154,atmos,echam6,Mass Fraction of Cloud Ice [1]
clivi,,150,atmos,echam6,Ice Water Path [kg m-2]
clt,,164,atmos,echam6,Total Cloud Fraction [%]
clw,,153,atmos,echam6,Mass Fraction of Cloud Liquid Water [1]
clwvi,,231,atmos,echam6,Condensed Water Path [kg m-2]
evspsbl,,182,atmos,echam6,Evaporation [kg m-2 s-1]
hfls,,147,atmos,echam6,Surface Upward Latent Heat Flux [W m-2]
hfss,,146,atmos,echam6,Surface Upward Sensible Heat Flux [W m-2]
hur,,157,atmos,echam6,Relative Humidity [%]
hus,,133,atmos,echam6,Specific Humidity [1]
pr,,142,atmos,echam6,Precipitation [kg m-2 s-1]
prc,,143,atmos,echam6,Convective Precipitation [kg m-2 s-1]
prsn,,144,atmos,echam6,Snowfall Flux [kg m-2 s-1]
prw,,230,atmos,echam6,Water Vapor Path [kg m-2]
ps,,134,atmos,echam6,Surface Air Pressure [Pa]
psl,,151,atmos,echam6,Sea Level Pressure [Pa]
rlds,,177,atmos,echam6,Surface Downwelling Longwave Radiation [W m-2]
rldscs,,186,atmos,echam6,Surface Downwelling Clear-Sky Longwave Radiation [W m-2]
rlus,,205,atmos,echam6,Surface Upwelling Longwave Radiation [W m-2]
rlut,,179,atmos,echam6,TOA Outgoing Longwave Radiation [W m-2]
rlutcs,,188,atmos,echam6,TOA Outgoing Clear-Sky Longwave Radiation [W m-2]
rsds,,176,atmos,echam6,Surface Downwelling Shortwave Radiation [W m-2]
rsdscs,,185,atmos,echam6,Surface Downwelling Clear-Sky Shortwave Radiation [W m-2]
rsdt,,184,atmos,echam6,TOA Incident Shortwave Radiation [W m-2]
rsus,,204,atmos,echam6,Surface Upwelling Shortwave Radiation [W m-2]
rsuscs,,185,atmos,echam6,Surface Upwelling Clear-Sky Shortwave Radiation [W m-2]
rsut,,203,atmos,echam6,TOA Outgoing Shortwave Radiation [W m-2]
rsutcs,,184,atmos,echam6,TOA Outgoing Clear-Sky Shortwave Radiation [W m-2]
rtmt,,179,atmos,echam6,Net Downward Flux at Top of Model [W m-2]
sfcWind,,171,atmos,echam6,Near-Surface Wind Speed [m s-1]
ta,,130,atmos,echam6,Air Temperature [K]
tas,,167,atmos,echam6,Near-Surface Air Temperature [K]
tasmax,,201,atmos,echam6,Daily Maximum Near-Surface Air Temperature [K]
tasmin,,202,atmos,echam6,Daily Minimum Near-Surface Air Temperature [K]
tauu,,180,atmos,echam6,Surface Downward Eastward Wind Stress [Pa]
tauv,,181,atmos,echam6,Surface Downward Northward Wind Stress [Pa]
tro3,,236,atmos,echam6,Mole Fraction of O3 [1e-9]
ts,,169,atmos,echam6,Surface Temperature [K]
ua,,131,atmos,echam6,Eastward Wind [m s-1]
uas,,165,atmos,echam6,Eastward Near-Surface Wind [m s-1]
va,,132,atmos,echam6,Northward Wind [m s-1]
vas,,166,atmos,echam6,Northward Near-Surface Wind [m s-1]
wap,,135,atmos,echam6,omega (=dp/dt) [Pa s-1]
zg,,156,atmos,echam6,Geopotential Height [m]
co2mass,,8,atmos,echam6,Total Atmospheric Mass of CO2 [kg]
fco2antt,,20,atmos,echam6,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kg m-2 s-1]
fco2nat,,5,atmos,echam6,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources [kg m-2 s-1]
co2,,1,atmos,echam6,Mole Fraction of CO2 [kg kg-1]
,,,,,
baresoilFrac,,,land,jsbach,Bare Soil Fraction [%]
burntArea,,,land,jsbach,Burnt Area Fraction [%]
c3PftFrac,,,land,jsbach,Total C3 PFT Cover Fraction [%]
c4PftFrac,,,land,jsbach,Total C4 PFT Cover Fraction [%]
cLitter,,,land,jsbach,Carbon Mass in Litter Pool [kg m-2]
cSoil,,,land,jsbach,Carbon Mass in Soil Pool [kg m-2]
cVeg,,,land,jsbach,Carbon Mass in Vegetation [kg m-2]
cropFrac,,,land,jsbach,Crop Fraction [%]
fFire,,,land,jsbach,Carbon Mass Flux into Atmosphere due to CO2 Emission from Fire [kg m-2 s-1]
fLuc,,,land,jsbach,Net Carbon Mass Flux into Atmosphere due to Land Use Change [kg m-2 s-1]
fVegLitter,,,land,jsbach,Total Carbon Mass Flux from Vegetation to Litter [kg m-2 s-1]
gpp,,,land,jsbach,Carbon Mass Flux out of Atmosphere due to Gross Primary Production on Land [kg m-2 s-1]
grassFrac,,,land,jsbach,Natural Grass Fraction [%]
intca,intca,,land,jsbach,Total Carbon in all Terrestrial Carbon Pools [kmol m-2]
lai,,,land,jsbach,Leaf Area Index [1]
landCoverFrac,,,land,jsbach,Plant Functional Type Grid Fraction [%]
mrro,,,land,jsbach,Total Runoff [kg m-2 s-1]
mrros,,,land,jsbach,Surface Runoff [kg m-2 s-1]
mrso,,,land,jsbach,Total Soil Moisture Content [kg m-2]
nbp,,,land,jsbach,Carbon Mass Flux out of Atmosphere due to Net Biospheric Production on Land [kg m-2 s-1] 
npp,,171,land,jsbach,Carbon Mass Flux out of Atmosphere due to Net Primary Production on Land [kg m-2 s-1] 
pastureFrac,,,land,jsbach,Anthropogenic Pasture Fraction [%] 
ra,,,land,jsbach,Carbon Mass Flux into Atmosphere due to Autotrophic (Plant) Respiration on Land [kg m-2 s-1] 
residualFrac,,,land,jsbach,Fraction of Grid Cell that is Land but Neither Vegetation-Covered nor Bare Soil [%] 
rh,,,land,jsbach,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration on Land [kg m-2 s-1] 
shrubFrac,,,land,jsbach,Shrub Fraction [%]
tran,,,land,jsbach,Transpiration [kg m-2 s-1]
treeFrac,,,land,jsbach,Tree Cover Fraction [%]
tsl,,,land,jsbach,Temperature of Soil [K]
,,,,, 
snc,,60l,landIce,,Snow Area Fraction [%]
snm,,218e,landIce,,Surface Snow Melt [kg m-2 s-1] 
snw,,141e,landIce,,Surface Snow Amount [kg m-2] 
,,,,,
hfds,heatabs,222,ocean,mpiom,Downward Heat Flux at Sea Water Surface [W m-2] 
hfsithermds,hfsithermds,149,ocean,mpiom,Heat Flux into Sea Water due to Sea Ice Thermodynamics [W m-2] 
hfx,,123,ocean,mpiom,Ocean Heat X Transport [W]
hfxba,hfxba,127,ocean,mpiom,Ocean Heat X Transport due to Bolus Advection [W] 
hfxdiff,oxhtrdif,125,ocean,mpiom,Ocean Heat X Transport dueto Diffusion [W]  
hfy,,124,ocean,mpiom,Ocean Heat Y Transport [W]  
hfyba,hfyba,128,ocean,mpiom,Ocean Heat Y Transport due to Bolus Advection [W] 
hfydiff,oyhtrdif,126,ocean,mpiom,Ocean Heat Y Transport due to Diffussion [W] 
masso,,514,ocean,mpiom,Sea Water Mass [kg]
mfo,,608,ocean,mpiom,Sea Water Transport [kg s-1] 
mlotst,zmld,183,ocean,mpiom,Ocean Mixed Layer Thickness Defined by Sigma T [m]
mlotstsq,zmld_sqr,181,ocean,mpiom,Square of Ocean Mixed Layer Thickness Defined by Sigma T [m2] 
msftbarot,psitro,27,ocean,mpiom,Ocean Barotropic Mass Streamfunction [kg s-1] 
msftmyz,,100,ocean,mpiom,Ocean Meridional Overturning Mass Streamfunction [kg s-1] 
omldamax,,182,ocean,mpiom,Mean Daily Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme [m] 
omlmax,,182,ocean,mpiom,Monthly Maximum Ocean Mixed Layer Thickness Defined by Mixing Scheme [m] 
pbo,bottom_pressure,17,ocean,mpiom,Sea Water Pressure at Sea floor [dbar] 
rhopoto,,18,ocean,mpiom,Sea Water Potential Density [kg m-3] 
rsntds,aoflshwo,223,ocean,mpiom,Net Downward Shortwave Radiation at Sea Water Surface [W m-2] 
so,,5,ocean,mpiom,Sea Water Salinity [psu]
soga,,516,ocean,mpiom,Global Mean Sea Water Salinity [psu] 
sos,sss,16,ocean,mpiom,Sea Surface Salinity [psu]
tauuo,,215,ocean,mpiom,Surface Downward X Stress [N m-2] 
tauvo,,216,ocean,mpiom,Surface Downward Y Stress [N m-2]
thetao,,2,ocean,mpiom,Sea Water Potential Temperature [K] 
thetaoga,,515,ocean,mpiom,Global Average Sea Water Potential Temperature [K] 
thkcello,,197,ocean,mpiom,Ocean Model Cell Thickness [m]
tos,sst,12,ocean,mpiom,Sea Surface Temperature [K]
tossq,sst_sqr,14,ocean,mpiom,Square of Sea Surface Temperature [K2]
umo,,23,ocean,mpiom,Ocean Mass X Transport [kg s-1]
uo,,3,ocean,mpiom,Sea Water X Velocity [m s-1]
vmo,,24,ocean,mpiom,Ocean Mass Y Transport [kg s-1]
vo,,4,ocean,mpiom,Sea Water Y Velocity [m s-1]
volo,,513,ocean,mpiom,Sea Water Volume [m3]
wfo,pem,219,ocean,mpiom,Water Flux into Sea Water [kg m-2 s-1]
wmo,,21,ocean,mpiom,Upward Ocean Mass Transport [kg s-1]
wmosq,,22,ocean,mpiom,Square of Upward Ocean Mass Transport [kg2 s-2]
zos,zo,1,ocean,mpiom,Sea Surface Height Above Geoid [m]
zosga,,519,ocean,mpiom,Global Average Sea Level Change [m]
zossga,,518,ocean,mpiom,Global Average Steric Sea Level Change [m]
zossq,zo_sqr,11,ocean,mpiom,Square of Sea Surface Height Above Geoid [m2]
intq,intq,,ocean,mpiom, Total Ocean Heat Content [J]
,,,,,
difvho,,111,ocean,mpiom,Ocean Vertical Heat Diffusivity  [m2 s-1] 
difvmo,,110,ocean,mpiom,Ocean Vertical Momentum Diffusivity [m2 s-1] 
difvso,,110,ocean,mpiom,Ocean Vertical Salt Diffusivity  [m2 s-1] 
,,,,,
bfe,surf_iron,131,ocnBgchem,hamocc,Particulate Biogenic Iron Concentration at Surface [mol m-3]
bsi,surf_opal,127,ocnBgchem,hamocc,Particulate Biogenic Silica Concentration at Surface [mol m-3]
calc,surf_calc,124,ocnBgchem,hamocc,Calcite Concentration at Surface [mol m-3]
chl,,122,ocnBgchem,hamocc,Total Chlorophyll Mass Concentration at Surface [kg m-3]
co3,co3,121,ocnBgchem,hamocc,Mole Concentration of Carbonate expressed as Carbon in Sea Water at Surface [mol m-3]
co3satcalc,,137,ocnBgchem,hamocc,Mole Concentration of Calcite expressed as Carbon in Sea Water at Saturation at Surface [mol m-3]
detoc,surf_det,117,ocnBgchem,hamocc,Detrital Organic Carbon Concentration at Surface [mol m-3]
dfe,,131,ocnBgchem,hamocc,Dissolved Iron Concentration at Surface [mol m-3] 
dissic,surf_sco212,107,ocnBgchem,hamocc,Dissolved Inorganic Carbon Concentration at Surface [mol m-3]
dissoc,surf_doc,116,ocnBgchem,hamocc,Dissolved Organic Carbon Concentration at Surface [mol m-3]
dms,surf_dms,129,ocnBgchem,hamocc,Dimethyl Sulphide Concentration at Surface [mol m-3]
dpco2,dpco2,164,ocnBgchem,hamocc,Delta PCO2 [Pa]
dpo2,dpo2,165,ocnBgchem,hamocc,Delta PO2 [Pa]
epc100,,81,ocnBgchem,hamocc,Downward Flux of Particle Organic Carbon [mol m-2 s-1]
epcalc100,caex90,78,ocnBgchem,hamocc,Downward Flux of Calcite [mol m-2 s-1]
epfe100,,81,ocnBgchem,hamocc,Downward Flux of Particulate Iron [mol m-2 s-1]
epsi100,opex90,75,ocnBgchem,hamocc,Downward Flux of Particulate Silica [mol m-2 s-1]
fddtalk,fddtalk,210,ocnBgchem,hamocc,Rate of Change of Alkalinity [mol m-2 s-1]
fddtdic,fddtdic,207,ocnBgchem,hamocc,Rate of Change of Net Dissolved Inorganic Carbon [mol m-2 s-1]
fddtdife,fddtdife,231,ocnBgchem,hamocc,Rate of Change of Net Dissolved Inorganic Iron [mol m-2 s-1]
fddtdin,fddtdin,214,ocnBgchem,hamocc,Rate of Change of Net Dissolved Inorganic Nitrogen [mol m-2 s-1]
fddtdip,fddtdip,211,ocnBgchem,hamocc,Rate of Change of Net Dissolved Inorganic Phosphate [mol m-2 s-1]
fddtdisi,fddtdisi,215,ocnBgchem,hamocc,Rate of Change of Net Dissolved Inorganic Silicate [mol m-2 s-1]
fgco2,co2flux,92,ocnBgchem,hamocc,Surface Downward CO2 Flux [kg m-2 s-1]
fgdms,dmsflux,68,ocnBgchem,hamocc,Surface Upward DMS Flux [mol m-2 s-1]
fgo2,o2flux,72,ocnBgchem,hamocc,Surface Downward O2 Flux [mol m-2 s-1]
frc,,95,ocnBgchem,hamocc,Downward Carbon Flux at Ocean Bottom [mol m-2 s-1]
frfe,,94,ocnBgchem,hamocc,Iron Loss to Sediments [mol m-2 s-1]
frn,denitr,159,ocnBgchem,hamocc,Nitrogen Loss to Sediments and through Denitrification [mol m-2 s-1]
fsfe,featm,161,ocnBgchem,hamocc,Surface Downward Net Flux of Iron [mol m-2 s-1]
intdic,intsco212,206,ocnBgchem,hamocc,Dissolved Inorganic Carbon Content [kmol m-2]
intpbfe,,200,ocnBgchem,hamocc,Iron Production [mol m-2 s-1]
intpbsi,intdelsil,186,ocnBgchem,hamocc,Silica Production [mol m-2 s-1]
intpcalc,,185,ocnBgchem,hamocc,Net Primary Mole Productivity of Carbon by Calcareous Phytoplankton [mol m-2 s-1]
intpn2,n2fix,157,ocnBgchem,hamocc,Nitrogen Fixation Rate in Ocean [mol m-2 s-1]
intpp,intpp,200,ocnBgchem,hamocc,Primary Organic Carbon Production by All Types of Phytoplankton [mol m-2 s-1]
no3,surf_ano3,114,ocnBgchem,hamocc,Dissolved Nitrate Concentration at Surface [mol m-3]
o2,surf_oxygen,112,ocnBgchem,hamocc,Dissolve Oxygen Concentration at Surface [mol m-3]
o2min,o2min,162,ocnBgchem,hamocc,Oxygen Minimum Concentration [mol m-3]
ph,surf_hi,120,ocnBgchem,hamocc,Hydrogen Ion Concentration at Surface [mol m-3]
phyc,surf_phy,122,ocnBgchem,hamocc,Phytoplankton Carbon Concentration at Surface [mol m-3]
phyfe,,122,ocnBgchem,hamocc,Phytoplankton Iron Concentration at Surface [mol m-3]
phyn,,122,ocnBgchem,hamocc,Phytoplankton Nitrogen Concentration at Surface [mol m-3]
phyp,,122,ocnBgchem,hamocc,Phytoplankton Phosphorus Concentration at Surface [mol m-3]
po4,surf_phosph,111,ocnBgchem,hamocc,Dissolved Phosphate Concentration at Surface [mol m-3]
pon,,117,ocnBgchem,hamocc,Particulate Organic Nitrogen Concentration at Surface [mol m-3]
pop,,117,ocnBgchem,hamocc,Particulate Organic Phosphorus Concentration at Surface [mol m-3]
si,surf_silica,115,ocnBgchem,hamocc,Dissolved Silicate Concentration at Surface [mol m-3]
spco2,pco2,67,ocnBgchem,hamocc,Surface Aqueous Partial Pressure of CO2 [Pa]
talk,surf_alkali,110,ocnBgchem,hamocc,Total Alkalinity at Surface [mol m-3]
zo2min,zo2min,163,ocnBgchem,hamocc,Depth of Oxygen Minimum Concentration [m]
zooc,surf_zoo,123,ocnBgchem,hamocc,Zooplankton Carbon Concentration at Surface [mol m-3]
zsatcalc,lysokl,160,ocnBgchem,hamocc,Calcite Saturation Depth [m]
,,,,,
prsn,,220,seaIce,mpiom,Surface Snowfall Rate into the Sea Ice Portion of the Grid Cell [kg m-2 s-1] 
sic,sicomo,15,seaIce,mpiom,Sea Ice Area Fraction [%]
sim,sicsno,13,seaIce,mpiom,Sea Ice Plus Surface Snow Amount [kg m-2] 
sit,sictho,13,seaIce,mpiom,Sea Ice Thickness [m]
snd,,141,seaIce,mpiom,Snow Depth [m]
strairx,strairx,226,seaIce,mpiom,X-Component of Atmospheric Stress On Sea Ice [N m-2] 
strairy,strairy,227,seaIce,mpiom,Y-Component of Atmospheric Stress On Sea Ice [N m-2] 
strocnx,strocnx,228,seaIce,mpiom,X-Component of Ocean Stress On Sea Ice [N m-2] 
strocny,strocny,229,seaIce,mpiom,Y-Component of Ocean Stress On Sea Ice [N m-2] 
transifs,transifs,703,seaIce,mpiom,Sea Ice Mass Transport Through Fram Strait [kg s-1] 
transix,transix,138,seaIce,mpiom,X-Component of Sea Ice Mass Transport [kg s-1] 
transiy,transiy,139,seaIce,mpiom,Y-Component of Sea Ice Mass Transport [kg s-1] 
